"Step","cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MAX"
"12736000","139.15999794006348","139.15999794006348","139.15999794006348"
"12800000","145.90999794006348","145.90999794006348","145.90999794006348"
"12864000","140.32999801635742","140.32999801635742","140.32999801635742"
"12928000","128.75","128.75","128.75"
"12992000","129.0399980545044","129.0399980545044","129.0399980545044"
"13056000","127.56000232696533","127.56000232696533","127.56000232696533"
"13120000","129.63999938964844","129.63999938964844","129.63999938964844"
"13184000","125.77999973297119","125.77999973297119","125.77999973297119"
"13248000","120.99999904632568","120.99999904632568","120.99999904632568"
"13312000","126.16000270843506","126.16000270843506","126.16000270843506"
"13376000","128.5999994277954","128.5999994277954","128.5999994277954"
"13440000","121.30000019073486","121.30000019073486","121.30000019073486"
"13504000","126.59999942779541","126.59999942779541","126.59999942779541"
"13568000","120.25000095367432","120.25000095367432","120.25000095367432"
"13632000","124.46000003814697","124.46000003814697","124.46000003814697"
"13696000","127.10999965667725","127.10999965667725","127.10999965667725"
"13760000","128.5600004196167","128.5600004196167","128.5600004196167"
"13824000","121.11999988555908","121.11999988555908","121.11999988555908"
"13888000","122.40000057220459","122.40000057220459","122.40000057220459"
"13952000","126.60000038146973","126.60000038146973","126.60000038146973"
"14016000","123.97999954223633","123.97999954223633","123.97999954223633"
"14080000","127.45999813079834","127.45999813079834","127.45999813079834"
"14144000","127.57999992370605","127.57999992370605","127.57999992370605"
"14208000","123.36000156402588","123.36000156402588","123.36000156402588"
"14272000","111.75999927520752","111.75999927520752","111.75999927520752"
"14336000","121.08999919891357","121.08999919891357","121.08999919891357"
"14400000","120.0600004196167","120.0600004196167","120.0600004196167"
"14464000","122.5499963760376","122.5499963760376","122.5499963760376"
"14528000","125.72000217437744","125.72000217437744","125.72000217437744"
"14592000","118.73999977111816","118.73999977111816","118.73999977111816"
"14656000","122.08999824523926","122.08999824523926","122.08999824523926"
"14720000","125.98999977111816","125.98999977111816","125.98999977111816"
"14784000","130.5300006866455","130.5300006866455","130.5300006866455"
"14848000","130.07000064849854","130.07000064849854","130.07000064849854"
"14912000","126.59000205993652","126.59000205993652","126.59000205993652"
"14976000","122.16000270843506","122.16000270843506","122.16000270843506"
"15040000","109.27999877929688","109.27999877929688","109.27999877929688"
"15104000","103.29999923706055","103.29999923706055","103.29999923706055"
"15168000","111.67000102996826","111.67000102996826","111.67000102996826"
"15232000","117.24999904632568","117.24999904632568","117.24999904632568"
"15296000","120.0600004196167","120.0600004196167","120.0600004196167"
"15360000","120.1200008392334","120.1200008392334","120.1200008392334"
"15424000","117.22000122070312","117.22000122070312","117.22000122070312"
"15488000","115.83999919891357","115.83999919891357","115.83999919891357"
"15552000","118.59999942779541","118.59999942779541","118.59999942779541"
"15616000","113.93000030517578","113.93000030517578","113.93000030517578"
"15680000","113.0600004196167","113.0600004196167","113.0600004196167"
"15744000","109.08000087738037","109.08000087738037","109.08000087738037"
"15808000","114.82000064849854","114.82000064849854","114.82000064849854"
"15872000","117.58000183105469","117.58000183105469","117.58000183105469"
"15936000","129.6299991607666","129.6299991607666","129.6299991607666"
"16000000","138.5","138.5","138.5"
"16064000","139.9300012588501","139.9300012588501","139.9300012588501"
"16128000","138.35000038146973","138.35000038146973","138.35000038146973"
"16192000","142.3499994277954","142.3499994277954","142.3499994277954"
"16256000","138.39999961853027","138.39999961853027","138.39999961853027"
"16320000","134.52000045776367","134.52000045776367","134.52000045776367"
"16384000","133.77999877929688","133.77999877929688","133.77999877929688"
"16448000","136.36000156402588","136.36000156402588","136.36000156402588"
"16512000","142.82000160217285","142.82000160217285","142.82000160217285"
"16576000","137.35999965667725","137.35999965667725","137.35999965667725"
"16640000","131.42999649047852","131.42999649047852","131.42999649047852"
"16704000","130.16000080108643","130.16000080108643","130.16000080108643"
"16768000","127.48999977111816","127.48999977111816","127.48999977111816"
"16832000","134.14999866485596","134.14999866485596","134.14999866485596"
"16896000","135.6800012588501","135.6800012588501","135.6800012588501"
"16960000","133.33999824523926","133.33999824523926","133.33999824523926"
"17024000","131.58999729156494","131.58999729156494","131.58999729156494"
"17088000","130.64999866485596","130.64999866485596","130.64999866485596"
"17152000","130.47000312805176","130.47000312805176","130.47000312805176"
"17216000","138.60000038146973","138.60000038146973","138.60000038146973"
"17280000","141.44000053405762","141.44000053405762","141.44000053405762"
"17344000","140.6599998474121","140.6599998474121","140.6599998474121"
"17408000","142.95999908447266","142.95999908447266","142.95999908447266"
"17472000","141.7299976348877","141.7299976348877","141.7299976348877"
"17536000","142.8700008392334","142.8700008392334","142.8700008392334"
"17600000","143.94999885559082","143.94999885559082","143.94999885559082"
"17664000","143.5300006866455","143.5300006866455","143.5300006866455"
"17728000","144.35999870300293","144.35999870300293","144.35999870300293"
"17792000","143.36000061035156","143.36000061035156","143.36000061035156"
"17856000","144.11999893188477","144.11999893188477","144.11999893188477"
"17920000","140.01999855041504","140.01999855041504","140.01999855041504"
"17984000","141.48999881744385","141.48999881744385","141.48999881744385"
"18048000","144.14000034332275","144.14000034332275","144.14000034332275"
"18112000","138.99999809265137","138.99999809265137","138.99999809265137"
"18176000","131.52000045776367","131.52000045776367","131.52000045776367"
"18240000","139.04000186920166","139.04000186920166","139.04000186920166"
"18304000","143.5399990081787","143.5399990081787","143.5399990081787"
"18368000","139.85999870300293","139.85999870300293","139.85999870300293"
"18432000","128.22999954223633","128.22999954223633","128.22999954223633"
"18496000","129.92999935150146","129.92999935150146","129.92999935150146"
"18560000","129.39000034332275","129.39000034332275","129.39000034332275"
"18624000","134.27999782562256","134.27999782562256","134.27999782562256"
"18688000","128","128","128"
"18752000","131.05000114440918","131.05000114440918","131.05000114440918"
"18816000","133.33999919891357","133.33999919891357","133.33999919891357"
"18880000","135.64000129699707","135.64000129699707","135.64000129699707"
"18944000","127.27999687194824","127.27999687194824","127.27999687194824"
"19008000","134.80000019073486","134.80000019073486","134.80000019073486"
"19072000","128.44999980926514","128.44999980926514","128.44999980926514"
"19136000","123.42999935150146","123.42999935150146","123.42999935150146"
"19200000","120.72000026702881","120.72000026702881","120.72000026702881"
"19264000","119.36000156402588","119.36000156402588","119.36000156402588"
"19328000","120.08999919891357","120.08999919891357","120.08999919891357"
"19392000","120.35000038146973","120.35000038146973","120.35000038146973"
"19456000","121.37000179290771","121.37000179290771","121.37000179290771"
"19520000","131.55000019073486","131.55000019073486","131.55000019073486"
"19584000","130.2700023651123","130.2700023651123","130.2700023651123"
"19648000","128.78999996185303","128.78999996185303","128.78999996185303"
"19712000","120.8400011062622","120.8400011062622","120.8400011062622"
"19776000","114.19999885559082","114.19999885559082","114.19999885559082"
"19840000","118.54999732971191","118.54999732971191","118.54999732971191"
"19904000","116.02999782562256","116.02999782562256","116.02999782562256"
"19968000","119.57999897003174","119.57999897003174","119.57999897003174"
"20032000","113.96000003814697","113.96000003814697","113.96000003814697"
