Step,cleanup_cbaminequity_aversion - SW_ep_rew_total,cleanup_cbaminequity_aversion - SW_ep_rew_total__MIN,cleanup_cbaminequity_aversion - SW_ep_rew_total__MAX
64000,-6787.8323974609375,-6787.8323974609375,-6787.8323974609375
128000,-6127.587890625,-6127.587890625,-6127.587890625
192000,-5389.000061035156,-5389.000061035156,-5389.000061035156
256000,-4938.197692871094,-4938.197692871094,-4938.197692871094
320000,-4463.491516113281,-4463.491516113281,-4463.491516113281
384000,-3854.8985595703125,-3854.8985595703125,-3854.8985595703125
448000,-3320.0810546875,-3320.0810546875,-3320.0810546875
512000,-2896.7072143554688,-2896.7072143554688,-2896.7072143554688
576000,-2334.5433654785156,-2334.5433654785156,-2334.5433654785156
640000,-1976.1715393066406,-1976.1715393066406,-1976.1715393066406
704000,-1633.9296264648438,-1633.9296264648438,-1633.9296264648438
768000,-1327.027587890625,-1327.027587890625,-1327.027587890625
832000,-1174.7476501464844,-1174.7476501464844,-1174.7476501464844
896000,-1056.1702423095703,-1056.1702423095703,-1056.1702423095703
960000,-897.2251892089844,-897.2251892089844,-897.2251892089844
1024000,-686.4525833129883,-686.4525833129883,-686.4525833129883
1088000,-568.4675369262695,-568.4675369262695,-568.4675369262695
1152000,-461.72000885009766,-461.72000885009766,-461.72000885009766
1216000,-459.79254150390625,-459.79254150390625,-459.79254150390625
1280000,-527.3900833129883,-527.3900833129883,-527.3900833129883
1344000,-493.8425064086914,-493.8425064086914,-493.8425064086914
1408000,-479.4350128173828,-479.4350128173828,-479.4350128173828
1472000,-449.1425018310547,-449.1425018310547,-449.1425018310547
1536000,-316.8524589538574,-316.8524589538574,-316.8524589538574
1600000,-318.88245391845703,-318.88245391845703,-318.88245391845703
1664000,-298.5524101257324,-298.5524101257324,-298.5524101257324
1728000,-304.8399353027344,-304.8399353027344,-304.8399353027344
1792000,-257.7074165344238,-257.7074165344238,-257.7074165344238
1856000,-233.42994689941406,-233.42994689941406,-233.42994689941406
1920000,-231.40993881225586,-231.40993881225586,-231.40993881225586
1984000,-217.77490997314453,-217.77490997314453,-217.77490997314453
2048000,-153.3799057006836,-153.3799057006836,-153.3799057006836
2112000,-146.2199306488037,-146.2199306488037,-146.2199306488037
2176000,-134.3274383544922,-134.3274383544922,-134.3274383544922
2240000,-135.7624225616455,-135.7624225616455,-135.7624225616455
2304000,-109.1949110031128,-109.1949110031128,-109.1949110031128
2368000,-94.65743350982666,-94.65743350982666,-94.65743350982666
2432000,-102.11242580413818,-102.11242580413818,-102.11242580413818
2496000,-71.8899474143982,-71.8899474143982,-71.8899474143982
2560000,-61.90995693206787,-61.90995693206787,-61.90995693206787
2624000,-62.54994583129883,-62.54994583129883,-62.54994583129883
2688000,-53.11994934082031,-53.11994934082031,-53.11994934082031
2752000,-48.87994956970215,-48.87994956970215,-48.87994956970215
2816000,-38.569967687129974,-38.569967687129974,-38.569967687129974
2880000,-34.20246386528015,-34.20246386528015,-34.20246386528015
2944000,-20.572469491511583,-20.572469491511583,-20.572469491511583
3008000,-6.08247697353363,-6.08247697353363,-6.08247697353363
3072000,-3.154981404542923,-3.154981404542923,-3.154981404542923
3136000,-13.24497702717781,-13.24497702717781,-13.24497702717781
3200000,-9.902479410171509,-9.902479410171509,-9.902479410171509
3264000,-1.9674794375896454,-1.9674794375896454,-1.9674794375896454
3328000,2.8725228309631348,2.8725228309631348,2.8725228309631348
3392000,13.022513270378113,13.022513270378113,13.022513270378113
3456000,17.317506313323975,17.317506313323975,17.317506313323975
3520000,12.145015478134155,12.145015478134155,12.145015478134155
3584000,18.547510385513306,18.547510385513306,18.547510385513306
3648000,15.485008403658867,15.485008403658867,15.485008403658867
3712000,11.540011763572693,11.540011763572693,11.540011763572693
3776000,11.650009870529175,11.650009870529175,11.650009870529175
3840000,15.215006947517395,15.215006947517395,15.215006947517395
3904000,12.722509980201721,12.722509980201721,12.722509980201721
3968000,12.327507078647614,12.327507078647614,12.327507078647614
4032000,14.925003170967102,14.925003170967102,14.925003170967102
4096000,15.940004050731659,15.940004050731659,15.940004050731659
4160000,13.290005028247833,13.290005028247833,13.290005028247833
4224000,13.952505007386208,13.952505007386208,13.952505007386208
4288000,13.605006396770477,13.605006396770477,13.605006396770477
4352000,13.050004601478577,13.050004601478577,13.050004601478577
4416000,12.285002589225769,12.285002589225769,12.285002589225769
4480000,12.055003136396408,12.055003136396408,12.055003136396408
4544000,11.335000872612,11.335000872612,11.335000872612
4608000,11.907500267028809,11.907500267028809,11.907500267028809
4672000,10.585001409053802,10.585001409053802,10.585001409053802
4736000,9.42000126838684,9.42000126838684,9.42000126838684
4800000,9.50749945640564,9.50749945640564,9.50749945640564
4864000,7.654999256134033,7.654999256134033,7.654999256134033
4928000,6.6699992418289185,6.6699992418289185,6.6699992418289185
4992000,5.3275006711483,5.3275006711483,5.3275006711483
5056000,6.654999852180481,6.654999852180481,6.654999852180481
5120000,7.194999575614929,7.194999575614929,7.194999575614929
5184000,6.887499451637268,6.887499451637268,6.887499451637268
5248000,7.130000114440918,7.130000114440918,7.130000114440918
5312000,7.024998664855957,7.024998664855957,7.024998664855957
5376000,6.362498879432678,6.362498879432678,6.362498879432678
5440000,6.369999527931213,6.369999527931213,6.369999527931213
5504000,7.242500007152557,7.242500007152557,7.242500007152557
5568000,7.999999225139618,7.999999225139618,7.999999225139618
