"Step","harvest_original_cbam_causal - SW_ep_rew_total","harvest_original_cbam_causal - SW_ep_rew_total__MIN","harvest_original_cbam_causal - SW_ep_rew_total__MAX"
"320000","-3744.4500732421875","-3744.4500732421875","-3744.4500732421875"
"640000","-2846.25","-2846.25","-2846.25"
"960000","-2083.0499267578125","-2083.0499267578125","-2083.0499267578125"
"1280000","-1706.3999938964844","-1706.3999938964844","-1706.3999938964844"
"1600000","-1522.550048828125","-1522.550048828125","-1522.550048828125"
"1920000","-900.5999755859375","-900.5999755859375","-900.5999755859375"
"2240000","-756.7500305175781","-756.7500305175781","-756.7500305175781"
"2560000","-485.6999969482422","-485.6999969482422","-485.6999969482422"
"2880000","-244.34999465942383","-244.34999465942383","-244.34999465942383"
"3200000","-184.69999313354492","-184.69999313354492","-184.69999313354492"
"3520000","-123.05000305175781","-123.05000305175781","-123.05000305175781"
"3840000","116.85000419616699","116.85000419616699","116.85000419616699"
"4160000","204.3000030517578","204.3000030517578","204.3000030517578"
"4480000","246.90000534057617","246.90000534057617","246.90000534057617"
"4800000","324.1999816894531","324.1999816894531","324.1999816894531"
"5120000","327.2999954223633","327.2999954223633","327.2999954223633"
"5440000","354.00001525878906","354.00001525878906","354.00001525878906"
"5760000","401.1000061035156","401.1000061035156","401.1000061035156"
"6080000","419.59999084472656","419.59999084472656","419.59999084472656"
"6400000","455.05001068115234","455.05001068115234","455.05001068115234"
"6720000","515.2999877929688","515.2999877929688","515.2999877929688"
"7040000","525.0500106811523","525.0500106811523","525.0500106811523"
"7360000","529.0499877929688","529.0499877929688","529.0499877929688"
"7680000","532.6499938964844","532.6499938964844","532.6499938964844"
"8000000","597.9499816894531","597.9499816894531","597.9499816894531"
"8320000","585.7500076293945","585.7500076293945","585.7500076293945"
"8640000","607.0999908447266","607.0999908447266","607.0999908447266"
"8960000","582.2499847412109","582.2499847412109","582.2499847412109"
"9280000","585.4999923706055","585.4999923706055","585.4999923706055"
"9600000","581.8000030517578","581.8000030517578","581.8000030517578"
"9920000","598.2500076293945","598.2500076293945","598.2500076293945"
"10240000","615.9000015258789","615.9000015258789","615.9000015258789"
"10560000","600.9000015258789","600.9000015258789","600.9000015258789"
"10880000","610.9500122070312","610.9500122070312","610.9500122070312"
"11200000","597.0000076293945","597.0000076293945","597.0000076293945"
"11520000","620.2000045776367","620.2000045776367","620.2000045776367"
"11840000","579.5500183105469","579.5500183105469","579.5500183105469"
"12160000","602.2000122070312","602.2000122070312","602.2000122070312"
"12480000","593.1499862670898","593.1499862670898","593.1499862670898"
"12800000","555.6999969482422","555.6999969482422","555.6999969482422"
"13120000","578.3000183105469","578.3000183105469","578.3000183105469"
"13440000","563.3000183105469","563.3000183105469","563.3000183105469"
"13760000","520.9000015258789","520.9000015258789","520.9000015258789"
"14080000","562.3500061035156","562.3500061035156","562.3500061035156"
"14400000","569.8500061035156","569.8500061035156","569.8500061035156"
"14720000","556.25","556.25","556.25"
"15040000","567.0500183105469","567.0500183105469","567.0500183105469"
"15360000","519.5999908447266","519.5999908447266","519.5999908447266"
"15680000","561.3000106811523","561.3000106811523","561.3000106811523"
"16000000","494.24999237060547","494.24999237060547","494.24999237060547"
"16320000","469.8500061035156","469.8500061035156","469.8500061035156"
"16640000","470.9000015258789","470.9000015258789","470.9000015258789"
"16960000","474.70001220703125","474.70001220703125","474.70001220703125"
"17280000","461.5999984741211","461.5999984741211","461.5999984741211"
"17600000","435.75000762939453","435.75000762939453","435.75000762939453"
"17920000","411.89998626708984","411.89998626708984","411.89998626708984"
"18240000","407.1500015258789","407.1500015258789","407.1500015258789"
"18560000","406.4500045776367","406.4500045776367","406.4500045776367"
"18880000","441.34998321533203","441.34998321533203","441.34998321533203"
"19200000","415","415","415"
"19520000","416.74999237060547","416.74999237060547","416.74999237060547"
"19840000","392.79998779296875","392.79998779296875","392.79998779296875"
"20160000","425.3499984741211","425.3499984741211","425.3499984741211"
