"Step","coin4_cbam_baseline - SW_ep_rew_total","coin4_cbam_baseline - SW_ep_rew_total__MIN","coin4_cbam_baseline - SW_ep_rew_total__MAX"
"1984000","-6.119999885559082","-6.119999885559082","-6.119999885559082"
"2048000","-5.549999862909317","-5.549999862909317","-5.549999862909317"
"2112000","-6.520000018179417","-6.520000018179417","-6.520000018179417"
"2176000","-4.720000505447388","-4.720000505447388","-4.720000505447388"
"2240000","-5.399999797344208","-5.399999797344208","-5.399999797344208"
"2304000","-3.2999998927116394","-3.2999998927116394","-3.2999998927116394"
"2368000","-4.61999985575676","-4.61999985575676","-4.61999985575676"
"2432000","-5.279999554157257","-5.279999554157257","-5.279999554157257"
"2496000","-4.819999560713768","-4.819999560713768","-4.819999560713768"
"2560000","-5.760000228881836","-5.760000228881836","-5.760000228881836"
"2624000","-5.459999978542328","-5.459999978542328","-5.459999978542328"
"2688000","-5.520000476390123","-5.520000476390123","-5.520000476390123"
"2752000","-5.019999444484711","-5.019999444484711","-5.019999444484711"
"2816000","-5.600000441074371","-5.600000441074371","-5.600000441074371"
"2880000","-6.159999668598175","-6.159999668598175","-6.159999668598175"
"2944000","-4.940000057220459","-4.940000057220459","-4.940000057220459"
"3008000","-4.040000021457672","-4.040000021457672","-4.040000021457672"
"3072000","-4.599999960511923","-4.599999960511923","-4.599999960511923"
"3136000","-5.31999958306551","-5.31999958306551","-5.31999958306551"
"3200000","-6.819999650120735","-6.819999650120735","-6.819999650120735"
"3264000","-6.7600003480911255","-6.7600003480911255","-6.7600003480911255"
"3328000","-5.479999989271164","-5.479999989271164","-5.479999989271164"
"3392000","-5.900000229477882","-5.900000229477882","-5.900000229477882"
"3456000","-5.459999620914459","-5.459999620914459","-5.459999620914459"
"3520000","-6.140000104904175","-6.140000104904175","-6.140000104904175"
"3584000","-5.219999969005585","-5.219999969005585","-5.219999969005585"
"3648000","-4.460000187158585","-4.460000187158585","-4.460000187158585"
"3712000","-7.0400004386901855","-7.0400004386901855","-7.0400004386901855"
"3776000","-4.099999696016312","-4.099999696016312","-4.099999696016312"
"3840000","-5.959999827668071","-5.959999827668071","-5.959999827668071"
"3904000","-5.639999628067017","-5.639999628067017","-5.639999628067017"
"3968000","-3.800000309944153","-3.800000309944153","-3.800000309944153"
"4032000","-6.720000386238098","-6.720000386238098","-6.720000386238098"
"4096000","-2.4800002574920654","-2.4800002574920654","-2.4800002574920654"
"4160000","-5.459999680519104","-5.459999680519104","-5.459999680519104"
"4224000","-6.199999690055847","-6.199999690055847","-6.199999690055847"
"4288000","-4.540000021457672","-4.540000021457672","-4.540000021457672"
"4352000","-5.540000081062317","-5.540000081062317","-5.540000081062317"
"4416000","-6.5799994468688965","-6.5799994468688965","-6.5799994468688965"
"4480000","-5.660000324249268","-5.660000324249268","-5.660000324249268"
"4544000","-4.9999999441206455","-4.9999999441206455","-4.9999999441206455"
"4608000","-2.7800000682473183","-2.7800000682473183","-2.7800000682473183"
"4672000","-6.180000066757202","-6.180000066757202","-6.180000066757202"
"4736000","-4.28000009059906","-4.28000009059906","-4.28000009059906"
"4800000","-7.339999675750732","-7.339999675750732","-7.339999675750732"
"4864000","-5.879999876022339","-5.879999876022339","-5.879999876022339"
"4928000","-4.599999904632568","-4.599999904632568","-4.599999904632568"
"4992000","-5.959999680519104","-5.959999680519104","-5.959999680519104"
"5056000","-7.219999969005585","-7.219999969005585","-7.219999969005585"
"5120000","-6.409999787807465","-6.409999787807465","-6.409999787807465"
"5184000","-6.420000046491623","-6.420000046491623","-6.420000046491623"
"5248000","-5.679999828338623","-5.679999828338623","-5.679999828338623"
"5312000","-5.420000374317169","-5.420000374317169","-5.420000374317169"
"5376000","-6.4400001764297485","-6.4400001764297485","-6.4400001764297485"
"5440000","-5.860000267624855","-5.860000267624855","-5.860000267624855"
"5504000","-7.600000441074371","-7.600000441074371","-7.600000441074371"
"5568000","-6.899999916553497","-6.899999916553497","-6.899999916553497"
"5632000","-5.259999990463257","-5.259999990463257","-5.259999990463257"
"5696000","-5.970000147819519","-5.970000147819519","-5.970000147819519"
"5760000","-4.820000000298023","-4.820000000298023","-4.820000000298023"
"5824000","-5.5599998235702515","-5.5599998235702515","-5.5599998235702515"
"5888000","-6.519999980926514","-6.519999980926514","-6.519999980926514"
"5952000","-4.9699998795986176","-4.9699998795986176","-4.9699998795986176"
