"Step","coin4_cbaminequity_aversion - SW_ep_rew_total","coin4_cbaminequity_aversion - SW_ep_rew_total__MIN","coin4_cbaminequity_aversion - SW_ep_rew_total__MAX"
"11648000","-4.999999701976776","-4.999999701976776","-4.999999701976776"
"11712000","-4.419999897480011","-4.419999897480011","-4.419999897480011"
"11776000","-4.720000058412552","-4.720000058412552","-4.720000058412552"
"11840000","-5.440000094473362","-5.440000094473362","-5.440000094473362"
"11904000","-4.659999847412109","-4.659999847412109","-4.659999847412109"
"11968000","-4.07999986410141","-4.07999986410141","-4.07999986410141"
"12032000","-5.319999992847443","-5.319999992847443","-5.319999992847443"
"12096000","-5.500000238418579","-5.500000238418579","-5.500000238418579"
"12160000","-4.06000018119812","-4.06000018119812","-4.06000018119812"
"12224000","-6.239999890327454","-6.239999890327454","-6.239999890327454"
"12288000","-5.93999981880188","-5.93999981880188","-5.93999981880188"
"12352000","-3.299999922513962","-3.299999922513962","-3.299999922513962"
"12416000","-5.279999943450093","-5.279999943450093","-5.279999943450093"
"12480000","-5.6199997663497925","-5.6199997663497925","-5.6199997663497925"
"12544000","-5.219999700784683","-5.219999700784683","-5.219999700784683"
"12608000","-5.160000264644623","-5.160000264644623","-5.160000264644623"
"12672000","-4.139999806880951","-4.139999806880951","-4.139999806880951"
"12736000","-4.739999890327454","-4.739999890327454","-4.739999890327454"
"12800000","-5.2200000286102295","-5.2200000286102295","-5.2200000286102295"
"12864000","-3.9600004702806473","-3.9600004702806473","-3.9600004702806473"
"12928000","-5.679999828338623","-5.679999828338623","-5.679999828338623"
"12992000","-4.2000004053115845","-4.2000004053115845","-4.2000004053115845"
"13056000","-4.89999982714653","-4.89999982714653","-4.89999982714653"
"13120000","-5.319999814033508","-5.319999814033508","-5.319999814033508"
"13184000","-5.540000319480896","-5.540000319480896","-5.540000319480896"
"13248000","-4.539999723434448","-4.539999723434448","-4.539999723434448"
"13312000","-5.059999868273735","-5.059999868273735","-5.059999868273735"
"13376000","-3.0599997639656067","-3.0599997639656067","-3.0599997639656067"
"13440000","-6.200000166893005","-6.200000166893005","-6.200000166893005"
"13504000","-5.819999992847443","-5.819999992847443","-5.819999992847443"
"13568000","-5.140000283718109","-5.140000283718109","-5.140000283718109"
"13632000","-5.339999973773956","-5.339999973773956","-5.339999973773956"
"13696000","-3.0399998128414154","-3.0399998128414154","-3.0399998128414154"
"13760000","-5.780000150203705","-5.780000150203705","-5.780000150203705"
"13824000","-5.080000042915344","-5.080000042915344","-5.080000042915344"
"13888000","-4.339999794960022","-4.339999794960022","-4.339999794960022"
"13952000","-4.360000252723694","-4.360000252723694","-4.360000252723694"
"14016000","-6.600000083446503","-6.600000083446503","-6.600000083446503"
"14080000","-4.980000019073486","-4.980000019073486","-4.980000019073486"
"14144000","-6.599999845027924","-6.599999845027924","-6.599999845027924"
"14208000","-6.179999947547913","-6.179999947547913","-6.179999947547913"
"14272000","-5.979999922215939","-5.979999922215939","-5.979999922215939"
"14336000","-6.839999923482537","-6.839999923482537","-6.839999923482537"
"14400000","-5.699999809265137","-5.699999809265137","-5.699999809265137"
"14464000","-5.480000078678131","-5.480000078678131","-5.480000078678131"
"14528000","-6.719999670982361","-6.719999670982361","-6.719999670982361"
"14592000","-4.600000023841858","-4.600000023841858","-4.600000023841858"
"14656000","-4.440000355243683","-4.440000355243683","-4.440000355243683"
"14720000","-4.820000112056732","-4.820000112056732","-4.820000112056732"
"14784000","-7.14000004529953","-7.14000004529953","-7.14000004529953"
"14848000","-5.839999973773956","-5.839999973773956","-5.839999973773956"
"14912000","-4.300000209361315","-4.300000209361315","-4.300000209361315"
"14976000","-4.620000019669533","-4.620000019669533","-4.620000019669533"
"15040000","-3.9799999594688416","-3.9799999594688416","-3.9799999594688416"
"15104000","-5.859999775886536","-5.859999775886536","-5.859999775886536"
"15168000","-5.020000210031867","-5.020000210031867","-5.020000210031867"
"15232000","-4.139999628067017","-4.139999628067017","-4.139999628067017"
"15296000","-5.440000057220459","-5.440000057220459","-5.440000057220459"
"15360000","-5.120000019669533","-5.120000019669533","-5.120000019669533"
"15424000","-4.519999921321869","-4.519999921321869","-4.519999921321869"
"15488000","-4.839999886229634","-4.839999886229634","-4.839999886229634"
"15552000","-4.440000414848328","-4.440000414848328","-4.440000414848328"
"15616000","-6.43999969959259","-6.43999969959259","-6.43999969959259"
"15680000","-4.259999498724937","-4.259999498724937","-4.259999498724937"
"15744000","-6.56000030040741","-6.56000030040741","-6.56000030040741"
