"Step","cleanup_cbam_causal - SW_ep_rew_total","cleanup_cbam_causal - SW_ep_rew_total__MIN","cleanup_cbam_causal - SW_ep_rew_total__MAX"
"2688000","10.170000206679106","10.170000206679106","10.170000206679106"
"2752000","11.39999982714653","11.39999982714653","11.39999982714653"
"2816000","19.28000020980835","19.28000020980835","19.28000020980835"
"2880000","15.78000020980835","15.78000020980835","15.78000020980835"
"2944000","18.179999828338623","18.179999828338623","18.179999828338623"
"3008000","20.43999993801117","20.43999993801117","20.43999993801117"
"3072000","21.130000114440918","21.130000114440918","21.130000114440918"
"3136000","20.90000033378601","20.90000033378601","20.90000033378601"
"3200000","17.33999991416931","17.33999991416931","17.33999991416931"
"3264000","14.140000343322754","14.140000343322754","14.140000343322754"
"3328000","15.339999914169312","15.339999914169312","15.339999914169312"
"3392000","21.72000014781952","21.72000014781952","21.72000014781952"
"3456000","23.210000038146973","23.210000038146973","23.210000038146973"
"3520000","18.679999947547913","18.679999947547913","18.679999947547913"
"3584000","18.049999952316284","18.049999952316284","18.049999952316284"
"3648000","15.320000410079956","15.320000410079956","15.320000410079956"
"3712000","17.789999961853027","17.789999961853027","17.789999961853027"
"3776000","15.25","15.25","15.25"
"3840000","20.360000133514404","20.360000133514404","20.360000133514404"
"3904000","20.25","20.25","20.25"
"3968000","22.259999990463257","22.259999990463257","22.259999990463257"
"4032000","22.68999981880188","22.68999981880188","22.68999981880188"
"4096000","22.259999990463257","22.259999990463257","22.259999990463257"
"4160000","22.769999980926514","22.769999980926514","22.769999980926514"
"4224000","21.860000133514404","21.860000133514404","21.860000133514404"
"4288000","22.31999969482422","22.31999969482422","22.31999969482422"
"4352000","24.320000410079956","24.320000410079956","24.320000410079956"
"4416000","22.390000104904175","22.390000104904175","22.390000104904175"
"4480000","23.610000371932983","23.610000371932983","23.610000371932983"
"4544000","26.519999980926514","26.519999980926514","26.519999980926514"
"4608000","28.910000324249268","28.910000324249268","28.910000324249268"
"4672000","29.800000190734863","29.800000190734863","29.800000190734863"
"4736000","27.350000381469727","27.350000381469727","27.350000381469727"
"4800000","26.299999952316284","26.299999952316284","26.299999952316284"
"4864000","29.75","29.75","29.75"
"4928000","35.05000019073486","35.05000019073486","35.05000019073486"
"4992000","38.519999980926514","38.519999980926514","38.519999980926514"
"5056000","40.380000591278076","40.380000591278076","40.380000591278076"
"5120000","39.359999656677246","39.359999656677246","39.359999656677246"
"5184000","39.34999990463257","39.34999990463257","39.34999990463257"
"5248000","40.90999984741211","40.90999984741211","40.90999984741211"
"5312000","43.44999980926514","43.44999980926514","43.44999980926514"
"5376000","41.41999959945679","41.41999959945679","41.41999959945679"
"5440000","41.579999923706055","41.579999923706055","41.579999923706055"
"5504000","41.71000003814697","41.71000003814697","41.71000003814697"
"5568000","41.019999504089355","41.019999504089355","41.019999504089355"
"5632000","46.41000032424927","46.41000032424927","46.41000032424927"
"5696000","49.700000286102295","49.700000286102295","49.700000286102295"
