"Step","coin5_cbam_baseline - SW_ep_rew_total","coin5_cbam_baseline - SW_ep_rew_total__MIN","coin5_cbam_baseline - SW_ep_rew_total__MAX"
"64000","-10.519999504089355","-10.519999504089355","-10.519999504089355"
"128000","-11.020000219345093","-11.020000219345093","-11.020000219345093"
"192000","-10.039999961853027","-10.039999961853027","-10.039999961853027"
"256000","-9.879999876022339","-9.879999876022339","-9.879999876022339"
"320000","-10.959999799728394","-10.959999799728394","-10.959999799728394"
"384000","-11.399998903274536","-11.399998903274536","-11.399998903274536"
"448000","-9.65999984741211","-9.65999984741211","-9.65999984741211"
"512000","-9.119999885559082","-9.119999885559082","-9.119999885559082"
"576000","-10.339999437332153","-10.339999437332153","-10.339999437332153"
"640000","-9.679999351501465","-9.679999351501465","-9.679999351501465"
"704000","-8.98000019788742","-8.98000019788742","-8.98000019788742"
"768000","-9.840000867843628","-9.840000867843628","-9.840000867843628"
"832000","-9.800000190734863","-9.800000190734863","-9.800000190734863"
"896000","-10.300000667572021","-10.300000667572021","-10.300000667572021"
"960000","-10.319999814033508","-10.319999814033508","-10.319999814033508"
"1024000","-9.40000033378601","-9.40000033378601","-9.40000033378601"
"1088000","-8.979999959468842","-8.979999959468842","-8.979999959468842"
"1152000","-8.040000319480896","-8.040000319480896","-8.040000319480896"
"1216000","-7.560000777244568","-7.560000777244568","-7.560000777244568"
"1280000","-6.259999752044678","-6.259999752044678","-6.259999752044678"
"1344000","-5.679999828338623","-5.679999828338623","-5.679999828338623"
"1408000","-5.080000638961792","-5.080000638961792","-5.080000638961792"
"1472000","-4.220000505447388","-4.220000505447388","-4.220000505447388"
"1536000","-3.5399999618530273","-3.5399999618530273","-3.5399999618530273"
"1600000","-4.800000190734863","-4.800000190734863","-4.800000190734863"
"1664000","-2.3000006675720215","-2.3000006675720215","-2.3000006675720215"
"1728000","-1.880000352859497","-1.880000352859497","-1.880000352859497"
"1792000","-2.3999991416931152","-2.3999991416931152","-2.3999991416931152"
"1856000","-1.700000524520874","-1.700000524520874","-1.700000524520874"
"1920000","-1.7800004482269287","-1.7800004482269287","-1.7800004482269287"
"1984000","-1.0799996852874756","-1.0799996852874756","-1.0799996852874756"
"2048000","-1.739999771118164","-1.739999771118164","-1.739999771118164"
"2112000","-0.820000171661377","-0.820000171661377","-0.820000171661377"
"2176000","-1.5799996852874756","-1.5799996852874756","-1.5799996852874756"
"2240000","-2.580000162124634","-2.580000162124634","-2.580000162124634"
"2304000","-1.8799996376037598","-1.8799996376037598","-1.8799996376037598"
"2368000","-1.5200004577636719","-1.5200004577636719","-1.5200004577636719"
"2432000","-2.2400004863739014","-2.2400004863739014","-2.2400004863739014"
"2496000","-0.22000014781951904","-0.22000014781951904","-0.22000014781951904"
"2560000","-1.7600001096725464","-1.7600001096725464","-1.7600001096725464"
"2624000","0.18000030517578125","0.18000030517578125","0.18000030517578125"
"2688000","-0.4800001382827759","-0.4800001382827759","-0.4800001382827759"
"2752000","-0.5799994468688965","-0.5799994468688965","-0.5799994468688965"
"2816000","-2.1000001430511475","-2.1000001430511475","-2.1000001430511475"
"2880000","-1.880000352859497","-1.880000352859497","-1.880000352859497"
"2944000","-1.700000286102295","-1.700000286102295","-1.700000286102295"
"3008000","-0.5600006580352783","-0.5600006580352783","-0.5600006580352783"
"3072000","-1.9200000762939453","-1.9200000762939453","-1.9200000762939453"
"3136000","-0.3399994373321533","-0.3399994373321533","-0.3399994373321533"
"3200000","-1.2400004863739014","-1.2400004863739014","-1.2400004863739014"
"3264000","-2.439999580383301","-2.439999580383301","-2.439999580383301"
"3328000","-1.9799997806549072","-1.9799997806549072","-1.9799997806549072"
"3392000","-1.8599998950958252","-1.8599998950958252","-1.8599998950958252"
"3456000","-1.0800001621246338","-1.0800001621246338","-1.0800001621246338"
"3520000","-1.7200005054473877","-1.7200005054473877","-1.7200005054473877"
"3584000","-1.2200000286102295","-1.2200000286102295","-1.2200000286102295"
"3648000","-2.0599992275238037","-2.0599992275238037","-2.0599992275238037"
"3712000","-0.9800002574920654","-0.9800002574920654","-0.9800002574920654"
"3776000","-1.940000057220459","-1.940000057220459","-1.940000057220459"
"3840000","-0.8599996566772461","-0.8599996566772461","-0.8599996566772461"
"3904000","-0.48000001907348633","-0.48000001907348633","-0.48000001907348633"
"3968000","-1.9199998378753662","-1.9199998378753662","-1.9199998378753662"
"4032000","-0.619999885559082","-0.619999885559082","-0.619999885559082"
"4096000","-0.6399996280670166","-0.6399996280670166","-0.6399996280670166"
"4160000","-0.9800002574920654","-0.9800002574920654","-0.9800002574920654"
"4224000","-0.8599996566772461","-0.8599996566772461","-0.8599996566772461"
"4288000","-1.9399998188018799","-1.9399998188018799","-1.9399998188018799"
"4352000","-0.7400002479553223","-0.7400002479553223","-0.7400002479553223"
"4416000","-0.5199997425079346","-0.5199997425079346","-0.5199997425079346"
"4480000","-0.5200004577636719","-0.5200004577636719","-0.5200004577636719"
"4544000","-1.3200006484985352","-1.3200006484985352","-1.3200006484985352"
"4608000","-1.0400002002716064","-1.0400002002716064","-1.0400002002716064"
"4672000","-1.3399999141693115","-1.3399999141693115","-1.3399999141693115"
"4736000","-0.619999885559082","-0.619999885559082","-0.619999885559082"
"4800000","-1.2599999904632568","-1.2599999904632568","-1.2599999904632568"
"4864000","-1.1999995708465576","-1.1999995708465576","-1.1999995708465576"
"4928000","0.12000012397766113","0.12000012397766113","0.12000012397766113"
"4992000","0.1399998664855957","0.1399998664855957","0.1399998664855957"
"5056000","-0.7200002670288086","-0.7200002670288086","-0.7200002670288086"
"5120000","-0.8999996185302734","-0.8999996185302734","-0.8999996185302734"
"5184000","-0.020000219345092773","-0.020000219345092773","-0.020000219345092773"
"5248000","-0.25999999046325684","-0.25999999046325684","-0.25999999046325684"
"5312000","-0.15999984741210938","-0.15999984741210938","-0.15999984741210938"
"5376000","0.1399991512298584","0.1399991512298584","0.1399991512298584"
"5440000","-0.32000017166137695","-0.32000017166137695","-0.32000017166137695"
"5504000","-0.5200004577636719","-0.5200004577636719","-0.5200004577636719"
"5568000","0.26000022888183594","0.26000022888183594","0.26000022888183594"
"5632000","-0.8600001335144043","-0.8600001335144043","-0.8600001335144043"
"5696000","0.10000038146972656","0.10000038146972656","0.10000038146972656"
"5760000","-2","-2","-2"
"5824000","-0.8799998760223389","-0.8799998760223389","-0.8799998760223389"
"5888000","0.5200002193450928","0.5200002193450928","0.5200002193450928"
"5952000","0.25999975204467773","0.25999975204467773","0.25999975204467773"
"6016000","-0.11999964714050293","-0.11999964714050293","-0.11999964714050293"
"6080000","-1.419999361038208","-1.419999361038208","-1.419999361038208"
"6144000","-0.8399996757507324","-0.8399996757507324","-0.8399996757507324"
"6208000","-0.5799999237060547","-0.5799999237060547","-0.5799999237060547"
"6272000","-0.20000028610229492","-0.20000028610229492","-0.20000028610229492"
"6336000","0.3599998950958252","0.3599998950958252","0.3599998950958252"
"6400000","0.1399998664855957","0.1399998664855957","0.1399998664855957"
"6464000","-0.8400003910064697","-0.8400003910064697","-0.8400003910064697"
"6528000","-1.059999704360962","-1.059999704360962","-1.059999704360962"
"6592000","0.20000004768371582","0.20000004768371582","0.20000004768371582"
"6656000","-0.6599998474121094","-0.6599998474121094","-0.6599998474121094"
"6720000","-2.060000419616699","-2.060000419616699","-2.060000419616699"
"6784000","-0.6000001430511475","-0.6000001430511475","-0.6000001430511475"
"6848000","-0.38000035285949707","-0.38000035285949707","-0.38000035285949707"
"6912000","-0.7800002098083496","-0.7800002098083496","-0.7800002098083496"
"6976000","-1.0999994277954102","-1.0999994277954102","-1.0999994277954102"
"7040000","0.2999997138977051","0.2999997138977051","0.2999997138977051"
"7104000","0.039999961853027344","0.039999961853027344","0.039999961853027344"
"7168000","-0.7999999523162842","-0.7999999523162842","-0.7999999523162842"
"7232000","0.8999998569488525","0.8999998569488525","0.8999998569488525"
"7296000","-1.119999885559082","-1.119999885559082","-1.119999885559082"
"7360000","-0.6800005435943604","-0.6800005435943604","-0.6800005435943604"
"7424000","-0.12000060081481934","-0.12000060081481934","-0.12000060081481934"
"7488000","-0.2199995517730713","-0.2199995517730713","-0.2199995517730713"
"7552000","0.3599998950958252","0.3599998950958252","0.3599998950958252"
"7616000","0.8000001907348633","0.8000001907348633","0.8000001907348633"
"7680000","1.059999704360962","1.059999704360962","1.059999704360962"
"7744000","-0.8400003910064697","-0.8400003910064697","-0.8400003910064697"
"7808000","0.5199999809265137","0.5199999809265137","0.5199999809265137"
"7872000","-0.9600005149841309","-0.9600005149841309","-0.9600005149841309"
"7936000","-1.3000001907348633","-1.3000001907348633","-1.3000001907348633"
"8000000","0.08000016212463379","0.08000016212463379","0.08000016212463379"
"8064000","0.32000017166137695","0.32000017166137695","0.32000017166137695"
"8128000","-0.8799998760223389","-0.8799998760223389","-0.8799998760223389"
"8192000","-1.179999828338623","-1.179999828338623","-1.179999828338623"
"8256000","0.20000004768371582","0.20000004768371582","0.20000004768371582"
"8320000","-1.0399997234344482","-1.0399997234344482","-1.0399997234344482"
"8384000","-0.4999995231628418","-0.4999995231628418","-0.4999995231628418"
"8448000","-0.9600005149841309","-0.9600005149841309","-0.9600005149841309"
"8512000","-0.7199995517730713","-0.7199995517730713","-0.7199995517730713"
"8576000","0.140000581741333","0.140000581741333","0.140000581741333"
"8640000","-0.9799995422363281","-0.9799995422363281","-0.9799995422363281"
"8704000","-0.08000063896179199","-0.08000063896179199","-0.08000063896179199"
"8768000","0.40000033378601074","0.40000033378601074","0.40000033378601074"
"8832000","-0.679999828338623","-0.679999828338623","-0.679999828338623"
"8896000","-0.37999963760375977","-0.37999963760375977","-0.37999963760375977"
"8960000","-0.11999988555908203","-0.11999988555908203","-0.11999988555908203"
"9024000","-0.25999975204467773","-0.25999975204467773","-0.25999975204467773"
"9088000","-0.5199999809265137","-0.5199999809265137","-0.5199999809265137"
"9152000","-1.0399999618530273","-1.0399999618530273","-1.0399999618530273"
"9216000","-0.5600001811981201","-0.5600001811981201","-0.5600001811981201"
"9280000","-0.6800005435943604","-0.6800005435943604","-0.6800005435943604"
"9344000","-1.0399999618530273","-1.0399999618530273","-1.0399999618530273"
"9408000","-0.9000000953674316","-0.9000000953674316","-0.9000000953674316"
"9472000","-0.7200002670288086","-0.7200002670288086","-0.7200002670288086"
"9536000","0.23999953269958496","0.23999953269958496","0.23999953269958496"
"9600000","0.6599998474121094","0.6599998474121094","0.6599998474121094"
"9664000","-0.5199992656707764","-0.5199992656707764","-0.5199992656707764"
"9728000","-1.8799991607666016","-1.8799991607666016","-1.8799991607666016"
"9792000","0.45999956130981445","0.45999956130981445","0.45999956130981445"
"9856000","0.03999948501586914","0.03999948501586914","0.03999948501586914"
"9920000","-0.7999999523162842","-0.7999999523162842","-0.7999999523162842"
"9984000","-0.3400001525878906","-0.3400001525878906","-0.3400001525878906"
"10048000","-0.4400002956390381","-0.4400002956390381","-0.4400002956390381"
"10112000","-0.6800000667572021","-0.6800000667572021","-0.6800000667572021"
"10176000","-0.2999999523162842","-0.2999999523162842","-0.2999999523162842"
"10240000","-0.31999993324279785","-0.31999993324279785","-0.31999993324279785"
"10304000","-0.7400002479553223","-0.7400002479553223","-0.7400002479553223"
"10368000","-1.0799994468688965","-1.0799994468688965","-1.0799994468688965"
"10432000","0.940000057220459","0.940000057220459","0.940000057220459"
"10496000","-0.3399994373321533","-0.3399994373321533","-0.3399994373321533"
"10560000","-0.25999975204467773","-0.25999975204467773","-0.25999975204467773"
"10624000","0.24000000953674316","0.24000000953674316","0.24000000953674316"
"10688000","-0.9200003147125244","-0.9200003147125244","-0.9200003147125244"
"10752000","-0.040000200271606445","-0.040000200271606445","-0.040000200271606445"
"10816000","-0.6799993515014648","-0.6799993515014648","-0.6799993515014648"
"10880000","-0.4199995994567871","-0.4199995994567871","-0.4199995994567871"
"10944000","-0.940000057220459","-0.940000057220459","-0.940000057220459"
"11008000","0.5000002384185791","0.5000002384185791","0.5000002384185791"
"11072000","-0.09999990463256836","-0.09999990463256836","-0.09999990463256836"
"11136000","0.48000001907348633","0.48000001907348633","0.48000001907348633"
"11200000","1.419999599456787","1.419999599456787","1.419999599456787"
